cl_activiteit_begindatum|cl_activiteit_einddatum|cl_activiteit_code|cl_activiteit_groepcode|cl_activiteit_element|cl_activiteit_beschrijving|cl_activiteit_aanspraak_type|cl_activiteit_hierarchieniveau|cl_activiteit_selecteerbaar|cl_activiteit_sorteervolgorde|cl_activiteit_soort|cl_activiteit_mag_direct|cl_activiteit_mag_indirect|cl_activiteit_mag_reistijd|cl_activiteit_mag_groep|cl_activiteit_mutatie|cl_activiteit_branche_indicatie
20130101|99991231|act_3.1.3.5.4|act_3.1.3.5|Systeem (gezin/paar/ouders) zonder patient individueel|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) zonder patient individueel|C|5|1|630|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.5.5|act_3.1.3.5|Systeem (gezin/paar/ouders) zonder patient in groep|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) zonder patient in groep||5|1|640|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.5.5|act_3.1.3.5|Systeem (gezin/paar/ouders) zonder patient in groep|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) zonder patient in groep|C|5|1|640|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.3.5.6|act_3.1.3.5|Systeem (gezin/paar/ouders) met patient individueel|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) met patient individueel||5|1|620|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.5.6|act_3.1.3.5|Systeem (gezin/paar/ouders) met patient individueel|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) met patient individueel|C|5|1|620|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.3.5.7|act_3.1.3.5|Systeem (gezin/paar/ouders) met patient in groep|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) met patient in groep||5|1|621|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.5.7|act_3.1.3.5|Systeem (gezin/paar/ouders) met patient in groep|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) met patient in groep|C|5|1|621|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.1.3.6|act_3.1.3|Cliëntgerichte therapie|Cliëntgerichte therapie||4|0|650|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.3.6.1|act_3.1.3.6|Patiënt individueel|Cliëntgerichte therapie: Patiënt individueel||5|1|660|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.6.1|act_3.1.3.6|Patiënt individueel|Cliëntgerichte therapie: Patiënt individueel|C|5|1|660|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.6.2|act_3.1.3.6|Patiënt in groep|Cliëntgerichte therapie: Patiënt in groep||5|1|670|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.6.2|act_3.1.3.6|Patiënt in groep|Cliëntgerichte therapie: Patiënt in groep|C|5|1|670|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.3.6.3|act_3.1.3.6|Systeem (gezin/paar/ouders) met patient|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) met patient||5|1|680|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.3.6.4|act_3.1.3.6|Systeem (gezin/paar/ouders) zonder patient individueel|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|690|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.3.6.4|act_3.1.3.6|Systeem (gezin/paar/ouders) zonder patient individueel|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|690|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.6.4|act_3.1.3.6|Systeem (gezin/paar/ouders) zonder patient individueel|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) zonder patient individueel|C|5|1|690|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.6.5|act_3.1.3.6|Systeem (gezin/paar/ouders) zonder patient in groep|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) zonder patient in groep||5|1|700|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.6.5|act_3.1.3.6|Systeem (gezin/paar/ouders) zonder patient in groep|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) zonder patient in groep|C|5|1|700|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.3.6.6|act_3.1.3.6|Systeem (gezin/paar/ouders) met patient individueel|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) met patient individueel||5|1|680|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.6.6|act_3.1.3.6|Systeem (gezin/paar/ouders) met patient individueel|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) met patient individueel|C|5|1|680|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.3.6.7|act_3.1.3.6|Systeem (gezin/paar/ouders) met patient in groep|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) met patient in groep||5|1|681|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.6.7|act_3.1.3.6|Systeem (gezin/paar/ouders) met patient in groep|Cliëntgerichte therapie: Systeem (gezin/paar/ouders) met patient in groep|C|5|1|681|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.1.3.7|act_3.1.3|Systeemtherapie|Systeemtherapie||4|0|710|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.3.7.1|act_3.1.3.7|Patiënt individueel|Systeemtherapie: Patiënt individueel||5|1|720|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.7.1|act_3.1.3.7|Patiënt individueel|Systeemtherapie: Patiënt individueel|C|5|1|720|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.7.2|act_3.1.3.7|Patiënt in groep|Systeemtherapie: Patiënt in groep||5|1|730|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.7.2|act_3.1.3.7|Patiënt in groep|Systeemtherapie: Patiënt in groep|C|5|1|730|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.3.7.3|act_3.1.3.7|Systeem (gezin/paar/ouders) met patient|Systeemtherapie: Systeem (gezin/paar/ouders) met patient||5|1|740|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.3.7.4|act_3.1.3.7|Systeem (gezin/paar/ouders) zonder patient individueel|Systeemtherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|750|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.3.7.4|act_3.1.3.7|Systeem (gezin/paar/ouders) zonder patient individueel|Systeemtherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|750|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.7.4|act_3.1.3.7|Systeem (gezin/paar/ouders) zonder patient individueel|Systeemtherapie: Systeem (gezin/paar/ouders) zonder patient individueel|C|5|1|750|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.7.5|act_3.1.3.7|Systeem (gezin/paar/ouders) zonder patient in groep|Systeemtherapie: Systeem (gezin/paar/ouders) zonder patient in groep||5|1|760|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.7.5|act_3.1.3.7|Systeem (gezin/paar/ouders) zonder patient in groep|Systeemtherapie: Systeem (gezin/paar/ouders) zonder patient in groep|C|5|1|760|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.3.7.6|act_3.1.3.7|Systeem (gezin/paar/ouders) met patient individueel|Systeemtherapie: Systeem (gezin/paar/ouders) met patient individueel||5|1|740|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.7.6|act_3.1.3.7|Systeem (gezin/paar/ouders) met patient individueel|Systeemtherapie: Systeem (gezin/paar/ouders) met patient individueel|C|5|1|740|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.3.7.7|act_3.1.3.7|Systeem (gezin/paar/ouders) met patient in groep|Systeemtherapie: Systeem (gezin/paar/ouders) met patient in groep||5|1|741|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.7.7|act_3.1.3.7|Systeem (gezin/paar/ouders) met patient in groep|Systeemtherapie: Systeem (gezin/paar/ouders) met patient in groep|C|5|1|741|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.1.3.8|act_3.1.3|Overig psychotherapie|Overig psychotherapie||4|0|770|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.3.8.1|act_3.1.3.8|Patiënt individueel|Overig psychotherapie: Patiënt individueel||5|1|780|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.8.1|act_3.1.3.8|Patiënt individueel|Overig psychotherapie: Patiënt individueel|C|5|1|780|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.8.2|act_3.1.3.8|Patiënt in groep|Overig psychotherapie: Patiënt in groep||5|1|790|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.8.2|act_3.1.3.8|Patiënt in groep|Overig psychotherapie: Patiënt in groep|C|5|1|790|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.3.8.3|act_3.1.3.8|Systeem (gezin/paar/ouders) met patient|Overig psychotherapie: Systeem (gezin/paar/ouders) met patient||5|1|800|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.3.8.4|act_3.1.3.8|Systeem (gezin/paar/ouders) zonder patient individueel|Overig psychotherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|810|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.3.8.4|act_3.1.3.8|Systeem (gezin/paar/ouders) zonder patient individueel|Overig psychotherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|810|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.8.4|act_3.1.3.8|Systeem (gezin/paar/ouders) zonder patient individueel|Overig psychotherapie: Systeem (gezin/paar/ouders) zonder patient individueel|C|5|1|810|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.8.5|act_3.1.3.8|Systeem (gezin/paar/ouders) zonder patient in groep|Overig psychotherapie: Systeem (gezin/paar/ouders) zonder patient in groep||5|1|820|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.8.5|act_3.1.3.8|Systeem (gezin/paar/ouders) zonder patient in groep|Overig psychotherapie: Systeem (gezin/paar/ouders) zonder patient in groep|C|5|1|820|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.3.8.6|act_3.1.3.8|Systeem (gezin/paar/ouders) met patient individueel|Overig psychotherapie: Systeem (gezin/paar/ouders) met patient individueel||5|1|800|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.8.6|act_3.1.3.8|Systeem (gezin/paar/ouders) met patient individueel|Overig psychotherapie: Systeem (gezin/paar/ouders) met patient individueel|C|5|1|800|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.3.8.7|act_3.1.3.8|Systeem (gezin/paar/ouders) met patient in groep|Overig psychotherapie: Systeem (gezin/paar/ouders) met patient in groep||5|1|801|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.8.7|act_3.1.3.8|Systeem (gezin/paar/ouders) met patient in groep|Overig psychotherapie: Systeem (gezin/paar/ouders) met patient in groep|C|5|1|801|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.1.4|act_3.1|Overige (communicatieve) behandeling|Overige (communicatieve) behandeling||3|0|830|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.4.1|act_3.1.4|Patiënt individueel|Overige (communicatieve) behandeling: Patiënt individueel||4|1|840|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.4.1|act_3.1.4|Patiënt individueel|Overige (communicatieve) behandeling: Patiënt individueel|C|4|1|840|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.4.2|act_3.1.4|Patiënt in groep|Overige (communicatieve) behandeling: Patiënt in groep||4|1|850|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.4.2|act_3.1.4|Patiënt in groep|Overige (communicatieve) behandeling: Patiënt in groep|C|4|1|850|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.4.3|act_3.1.4|Systeem (gezin/paar/ouders) met patient|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) met patient||4|1|860|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.4.4|act_3.1.4|Systeem (gezin/paar/ouders) zonder patient individueel|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) zonder patient individueel||4|1|870|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.4.4|act_3.1.4|Systeem (gezin/paar/ouders) zonder patient individueel|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) zonder patient individueel||4|1|870|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.4.4|act_3.1.4|Systeem (gezin/paar/ouders) zonder patient individueel|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) zonder patient individueel|C|4|1|870|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.4.5|act_3.1.4|Systeem (gezin/paar/ouders) zonder patient in groep|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) zonder patient in groep||4|1|880|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.4.5|act_3.1.4|Systeem (gezin/paar/ouders) zonder patient in groep|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) zonder patient in groep|C|4|1|880|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.4.6|act_3.1.4|Systeem (gezin/paar/ouders) met patient individueel|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) met patient individueel||4|1|860|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.4.6|act_3.1.4|Systeem (gezin/paar/ouders) met patient individueel|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) met patient individueel|C|4|1|860|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.4.7|act_3.1.4|Systeem (gezin/paar/ouders) met patient in groep|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) met patient in groep||4|1|861|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.4.7|act_3.1.4|Systeem (gezin/paar/ouders) met patient in groep|Overige (communicatieve) behandeling: Systeem (gezin/paar/ouders) met patient in groep|C|4|1|861|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_3.2|act_3|Farmacotherapie|Farmacotherapie||2|1|890|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.2|act_3|Farmacotherapie|Farmacotherapie|C|2|1|890|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.3|act_3|Fysische therapie|Fysische therapie||2|0|900|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.3.1|act_3.3|Elektroconvulsietherapie|Elektroconvulsietherapie||3|1|910|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.3.1|act_3.3|Elektroconvulsietherapie|Elektroconvulsietherapie|C|3|1|910|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_3.3.2|act_3.3|Lichttherapie|Lichttherapie||3|1|920|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.3.2|act_3.3|Lichttherapie|Lichttherapie|C|3|1|920|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_3.3.3|act_3.3|Transcraniële magnetische stimulatie|Transcraniële magnetische stimulatie||3|1|930|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.3.3|act_3.3|Transcraniële magnetische stimulatie|Transcraniële magnetische stimulatie|E|3|1|930|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_3.3.4|act_3.3|Overig behandeling fysische technieken|Overig behandeling fysische technieken||3|1|940|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.3.4|act_3.3|Overig behandeling fysische technieken|Overig behandeling fysische technieken|C|3|1|940|Tijdschrijven|J|J|J|J||0
20130101|20131231|act_3.3.5|act_3.3|Deep brain stimulation|Deep brain stimulation|A|3|1|941|Tijdschrijven|J|J|J|J||0
20140101|99991231|act_3.3.5|act_3.3|Deep brain stimulation|Deep brain stimulation||3|1|941|Tijdschrijven|J|J|J|J||0
20130101|20131231|act_3.3.6|act_3.3|Neurofeedback|Neurofeedback|A|3|1|942|Tijdschrijven|J|J|J|J||0
20150101|99991231|act_3.3.6|act_3.3|Neurofeedback|Neurofeedback||3|1|942|Tijdschrijven|J|J|J|J||2
20000101|99991231|act_3.4|act_3|Vaktherapie|Vaktherapie||2|0|950|Tijdschrijven|N|N|N|N||0
20000101|20161231|act_3.4.1|act_3.4|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc)|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc)||3|0|960|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.4.1.1|act_3.4.1|Patiënt individueel|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Patiënt individueel||4|1|970|Tijdschrijven|J|J|J|N||0
20130101|20161231|act_3.4.1.1|act_3.4.1|Patiënt individueel|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Patiënt individueel|C|4|1|970|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.4.1.2|act_3.4.1|Patiënt in groep|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Patiënt in groep||4|1|980|Tijdschrijven|J|J|J|J||0
20130101|20161231|act_3.4.1.2|act_3.4.1|Patiënt in groep|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Patiënt in groep|C|4|1|980|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.4.1.3|act_3.4.1|Systeem (gezin/paar/ouders) met patient|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) met patient||4|1|990|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.4.1.4|act_3.4.1|Systeem (gezin/paar/ouders) zonder patient individueel|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) zonder patient individueel||4|1|1000|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.4.1.4|act_3.4.1|Systeem (gezin/paar/ouders) zonder patient individueel|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) zonder patient individueel||4|1|1000|Tijdschrijven|J|J|J|N||0
20130101|20161231|act_3.4.1.4|act_3.4.1|Systeem (gezin/paar/ouders) zonder patient individueel|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) zonder patient individueel|C|4|1|1000|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.4.1.5|act_3.4.1|Systeem (gezin/paar/ouders) zonder patient in groep|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) zonder patient in groep||4|1|1010|Tijdschrijven|J|J|J|J||0
20130101|20161231|act_3.4.1.5|act_3.4.1|Systeem (gezin/paar/ouders) zonder patient in groep|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) zonder patient in groep|C|4|1|1010|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.4.1.6|act_3.4.1|Systeem (gezin/paar/ouders) met patient individueel|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) met patient individueel||4|1|990|Tijdschrijven|J|J|J|N||0
20130101|20161231|act_3.4.1.6|act_3.4.1|Systeem (gezin/paar/ouders) met patient individueel|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) met patient individueel|C|4|1|990|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.4.1.7|act_3.4.1|Systeem (gezin/paar/ouders) met patient in groep|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) met patient in groep||4|1|991|Tijdschrijven|J|J|J|J||0
20130101|20161231|act_3.4.1.7|act_3.4.1|Systeem (gezin/paar/ouders) met patient in groep|Creatieve therapie (drama, beeldend, muziek, dans, tuin, etc): Systeem (gezin/paar/ouders) met patient in groep|C|4|1|991|Tijdschrijven|J|J|J|J||0
20000101|20161231|act_3.4.2|act_3.4|Psychomotorische therapie (beweging, expressie, interactie)|Psychomotorische therapie (beweging, expressie, interactie)||3|0|1020|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.4.2.1|act_3.4.2|Patiënt individueel|Psychomotorische therapie (beweging, expressie, interactie): Patiënt individueel||4|1|1030|Tijdschrijven|J|J|J|N||0
20130101|20161231|act_3.4.2.1|act_3.4.2|Patiënt individueel|Psychomotorische therapie (beweging, expressie, interactie): Patiënt individueel|C|4|1|1030|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.4.2.2|act_3.4.2|Patiënt in groep|Psychomotorische therapie (beweging, expressie, interactie): Patiënt in groep||4|1|1040|Tijdschrijven|J|J|J|J||0
20130101|20161231|act_3.4.2.2|act_3.4.2|Patiënt in groep|Psychomotorische therapie (beweging, expressie, interactie): Patiënt in groep|C|4|1|1040|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.4.2.3|act_3.4.2|Systeem (gezin/paar/ouders) met patient|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) met patient||4|1|1050|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.4.2.4|act_3.4.2|Systeem (gezin/paar/ouders) zonder patient individueel|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) zonder patient individueel||4|1|1060|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.4.2.4|act_3.4.2|Systeem (gezin/paar/ouders) zonder patient individueel|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) zonder patient individueel||4|1|1060|Tijdschrijven|J|J|J|N||0
20130101|20161231|act_3.4.2.4|act_3.4.2|Systeem (gezin/paar/ouders) zonder patient individueel|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) zonder patient individueel|C|4|1|1060|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.4.2.5|act_3.4.2|Systeem (gezin/paar/ouders) zonder patient in groep|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) zonder patient in groep||4|1|1070|Tijdschrijven|J|J|J|J||0
20130101|20161231|act_3.4.2.5|act_3.4.2|Systeem (gezin/paar/ouders) zonder patient in groep|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) zonder patient in groep|C|4|1|1070|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.4.2.6|act_3.4.2|Systeem (gezin/paar/ouders) met patient individueel|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) met patient individueel||4|1|1050|Tijdschrijven|J|J|J|N||0
20130101|20161231|act_3.4.2.6|act_3.4.2|Systeem (gezin/paar/ouders) met patient individueel|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) met patient individueel|C|4|1|1050|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.4.2.7|act_3.4.2|Systeem (gezin/paar/ouders) met patient in groep|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) met patient in groep||4|1|1051|Tijdschrijven|J|J|J|J||0
20130101|20161231|act_3.4.2.7|act_3.4.2|Systeem (gezin/paar/ouders) met patient in groep|Psychomotorische therapie (beweging, expressie, interactie): Systeem (gezin/paar/ouders) met patient in groep|C|4|1|1051|Tijdschrijven|J|J|J|J||0
20000101|20161231|act_3.4.3|act_3.4|Vaktherapie overig|Vaktherapie overig||3|0|1080|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.4.3.1|act_3.4.3|Patiënt individueel|Vaktherapie overig: Patiënt individueel||4|1|1090|Tijdschrijven|J|J|J|N||0
20130101|20161231|act_3.4.3.1|act_3.4.3|Patiënt individueel|Vaktherapie overig: Patiënt individueel|C|4|1|1090|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.4.3.2|act_3.4.3|Patiënt in groep|Vaktherapie overig: Patiënt in groep||4|1|1100|Tijdschrijven|J|J|J|J||0
20130101|20161231|act_3.4.3.2|act_3.4.3|Patiënt in groep|Vaktherapie overig: Patiënt in groep|C|4|1|1100|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.4.3.3|act_3.4.3|Systeem (gezin/paar/ouders) met patient|Vaktherapie overig: Systeem (gezin/paar/ouders) met patient||4|1|1110|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.4.3.4|act_3.4.3|Systeem (gezin/paar/ouders) zonder patient individueel|Vaktherapie overig: Systeem (gezin/paar/ouders) zonder patient individueel||4|1|1120|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.4.3.4|act_3.4.3|Systeem (gezin/paar/ouders) zonder patient individueel|Vaktherapie overig: Systeem (gezin/paar/ouders) zonder patient individueel||4|1|1120|Tijdschrijven|J|J|J|N||0
20130101|20161231|act_3.4.3.4|act_3.4.3|Systeem (gezin/paar/ouders) zonder patient individueel|Vaktherapie overig: Systeem (gezin/paar/ouders) zonder patient individueel|C|4|1|1120|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.4.3.5|act_3.4.3|Systeem (gezin/paar/ouders) zonder patient in groep|Vaktherapie overig: Systeem (gezin/paar/ouders) zonder patient in groep||4|1|1130|Tijdschrijven|J|J|J|J||0
20130101|20161231|act_3.4.3.5|act_3.4.3|Systeem (gezin/paar/ouders) zonder patient in groep|Vaktherapie overig: Systeem (gezin/paar/ouders) zonder patient in groep|C|4|1|1130|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.4.3.6|act_3.4.3|Systeem (gezin/paar/ouders) met patient individueel|Vaktherapie overig: Systeem (gezin/paar/ouders) met patient individueel||4|1|1110|Tijdschrijven|J|J|J|N||0
20130101|20161231|act_3.4.3.6|act_3.4.3|Systeem (gezin/paar/ouders) met patient individueel|Vaktherapie overig: Systeem (gezin/paar/ouders) met patient individueel|C|4|1|1110|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.4.3.7|act_3.4.3|Systeem (gezin/paar/ouders) met patient in groep|Vaktherapie overig: Systeem (gezin/paar/ouders) met patient in groep||4|1|1111|Tijdschrijven|J|J|J|J||0
20130101|20161231|act_3.4.3.7|act_3.4.3|Systeem (gezin/paar/ouders) met patient in groep|Vaktherapie overig: Systeem (gezin/paar/ouders) met patient in groep|C|4|1|1111|Tijdschrijven|J|J|J|J||0
20170101|99991231|act_3.4.4|act_3.4|Beeldende therapie|Beeldende therapie||3|0|961|Tijdschrijven|N|N|N|N||0
20170101|99991231|act_3.4.4.1|act_3.4.4|Patiënt individueel|Beeldende therapie: Patiënt individueel||4|1|962|Tijdschrijven|J|J|J|N||0
20170101|99991231|act_3.4.4.2|act_3.4.4|Patiënt in groep|Beeldende therapie: Patiënt in groep||4|1|963|Tijdschrijven|J|J|J|J||0
20170101|99991231|act_3.4.4.4|act_3.4.4|Systeem (gezin/paar/ouders) zonder patiënt individueel|Beeldende therapie: Systeem (gezin/paar/ouders) zonder patiënt individueel||4|1|964|Tijdschrijven|J|J|J|N||0
20170101|99991231|act_3.4.4.5|act_3.4.4|Systeem (gezin/paar/ouders) zonder patiënt in groep|Beeldende therapie: Systeem (gezin/paar/ouders) zonder patiënt in groep||4|1|965|Tijdschrijven|J|J|J|J||0
20170101|99991231|act_3.4.4.6|act_3.4.4|Systeem (gezin/paar/ouders) met patiënt individueel|Beeldende therapie: Systeem (gezin/paar/ouders) met patiënt individueel||4|1|966|Tijdschrijven|J|J|J|N||0
